6666666.212200.1849 -> ALPHAKETOGLUTARATE_AMINOACIDS|8|N_acetyl_gamma_glutamyl_phosphate_reductase_1|391213	gi|6666666.212200.1849|6666666.212200|LUHJ01|Cell_division_inhibitor|Anabaenasp4343LUHJ01
6666666.212373.436 -> E4P_AMINO_ACIDS|13|Tryptophan_synthase_beta_1|391213	gi|6666666.212373.436|6666666.212373|LVHS01|Tryptophan_synthase_beta_chain__EC_4.2.1.20_|ProchlorococcusmarinusstrMIT1342MIT1342LVHS01
6666666.212447.3128 -> ALPHAKETOGLUTARATE_AMINOACIDS|5|Glutamate_5_semialdehyde_dehydrogenase_1|391213	gi|6666666.212447.3128|6666666.212447|AP017295.1|FIG00874774_hypothetical_protein|NostocspNIES3756AP0172951
6666666.212079.1591 -> R5P_AMINOACIDS|6|imidazole_glycerol_phosphate_synthase_H_6|391246	gi|6666666.212079.1591|6666666.212079|JNAK01|Imidazole_glycerol_phosphate_synthase_cyclase_subunit__EC_4.1.3.__|ProchlorococcusmarinusstrMIT9123MIT9123JNAK01
6666666.212120.1281 -> PYR_THR_AA|3|Acetolactate_synthase_large_subunit_1|391213	gi|6666666.212120.1281|6666666.212120|JNAV01|hypothetical_protein|ProchlorococcusspMIT0602MIT0602JNAV01
6666666.212161.2241 -> E4P_AMINO_ACIDS|9|Anthranilate_phosphoribosyltransferase_1|391246	gi|6666666.212161.2241|6666666.212161|LUBZ01|Anthranilate_phosphoribosyltransferase__EC_2.4.2.18_|CylindrospermopsisraciborskiiITEPA1ITEPA1LUBZ01
6666666.212192.1437 -> ALPHAKETOGLUTARATE_AMINOACIDS|15|glutamate_synthase_2|391213	gi|6666666.212192.1437|6666666.212192|JNAI01|Ferredoxin_dependent_glutamate_synthase__EC_1.4.7.1_|ProchlorococcusmarinusstrMIT9107MIT9107JNAI01
6666666.212311.104 -> OXALACETATE_AMINOACIDS|7|Threonine_synthase_3|391246	gi|6666666.212311.104|6666666.212311|AGIK01|Threonine_synthase__EC_4.2.3.1_|SynechococcusspWH8016WH8016AGIK01
6666666.212235.156 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_1|391213	gi|6666666.212235.156|6666666.212235|ALPI01|Dihydroxy_acid_dehydratase__EC_4.2.1.9_|ProchlorococcusspW11ALPI01
6666666.212085.965 -> Glycolysis|9|enolase_1|391213	gi|6666666.212085.965|6666666.212085|JFMB01|Rod_shape_determining_protein_MreD|ProchlorococcusspscB243495P20JFMB01
6666666.212358.171 -> E4P_AMINO_ACIDS|9|Anthranilate_phosphoribosyltransferase_1|391246	gi|6666666.212358.171|6666666.212358|LWRO01|Anthranilate_phosphoribosyltransferase__EC_2.4.2.18_|GeitlerinemaspBBD19919LWRO01
6666666.212362.186 -> TCA|12|fumarate_hydratase_2|391213	gi|6666666.212362.186|6666666.212362|JFNY01|Agmatinase__EC_3.5.3.11_|ProchlorococcusspscB245a521C8JFNY01
6666666.212087.4908 -> R5P_AMINOACIDS|10|histidinol_dehydrogenase_1|391213	gi|6666666.212087.4908|6666666.212087|CAIN01|Glycosyltransferase__EC_2.4.1.__|MicrocystisaeruginosaPCC98089808CAIN01
6666666.212125.1939 -> E4P_AMINO_ACIDS|12|Tryptophan_synthase_alpha_1|391213	gi|6666666.212125.1939|6666666.212125|JNAO01|Macrophage_migration_inhibitory_factor_family|ProchlorococcusmarinusstrMIT9314MIT9314JNAO01
6666666.212485.2191 -> E4P_AMINO_ACIDS|8|Anthranilate_synthase_component_1_2|391245	gi|6666666.212485.2191|6666666.212485|BX548020.1|Anthranilate_synthase_aminase_component__EC_4.1.3.27_|SynechococcusspWH8102BX5480201
6666666.212183.1178 -> R5P_AMINOACIDS|10|histidinol_dehydrogenase_3|391246	gi|6666666.212183.1178|6666666.212183|AJTX02|Histidinol_dehydrogenase__EC_1.1.1.23_|ProchlorothrixhollandicaPCC9006AJTX02
6666666.212397.2667 -> PYR_THR_AA|10|3isopropylmalate_dehydrogenase_2|391245	gi|6666666.212397.2667|6666666.212397|CP003594.1|3_isopropylmalate_dehydrogenase__EC_1.1.1.85_|SynechococcusspPCC7502CP0035941
6666666.212291.3325 -> TCA|12|fumarate_hydratase_1|391246	gi|6666666.212291.3325|6666666.212291|ALVR01|Pyrroline_5_carboxylate_reductase__EC_1.5.1.2_|SpirulinasubsalsaPCC9445PCC9445ALVR01
6666666.212077.27 -> ALPHAKETOGLUTARATE_AMINOACIDS|15|glutamate_synthase_2|391213	gi|6666666.212077.27|6666666.212077|JFNT01|hypothetical_protein|ProchlorococcusspscB245a520F22JFNT01
6666666.212147.470 -> R5P_AMINOACIDS|1|ribosephosphate_pyrophosphokinase_3|391246	gi|6666666.212147.470|6666666.212147|JFNG01|Biotin_synthesis_protein_BioC|ProchlorococcusspscB245a518O7JFNG01
6666666.212372.823 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_1|391213	gi|6666666.212372.823|6666666.212372|JFNZ01|FIG00940926_hypothetical_protein|ProchlorococcusspscB245a521K15JFNZ01
6666666.212330.2674 -> E4P_AMINO_ACIDS|13|Tryptophan_synthase_beta_1|391213	gi|6666666.212330.2674|6666666.212330|ALVW01|TldD_protein_part_of_TldE_TldD_proteolytic_complex|MastigocladopsisrepensPCC10914PCC10914ALVW01
6666666.212372.1239 -> E4P_AMINO_ACIDS|19|phosphoribosylanthranilate_isomerase_1|391213	gi|6666666.212372.1239|6666666.212372|JFNZ01|hypothetical_protein|ProchlorococcusspscB245a521K15JFNZ01
6666666.212313.2446 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_1|391213	gi|6666666.212313.2446|6666666.212313|LUFH01|tRNA_Asp_GTC|SphaerospermopsisaphanizomenoidesBCCUSP55BCCUSP55LUFH01
6666666.212072.6288 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_1|391213	gi|6666666.212072.6288|6666666.212072|ALVM01|hypothetical_protein|LeptolyngbyaboryanaPCC6306PCC6306ALVM01
6666666.212108.2080 -> TCA|12|fumarate_hydratase_2|391213	gi|6666666.212108.2080|6666666.212108|LFEK01|Fumarate_hydratase_class_II__EC_4.2.1.2_|SynechococcusspGFB01GFB01LFEK01
6666666.212258.174 -> ALPHAKETOGLUTARATE_AMINOACIDS|7|Acetylglutamate_kinase_3|391246	gi|6666666.212258.174|6666666.212258|JNAS01|Acetylglutamate_kinase__EC_2.7.2.8_|ProchlorococcusmarinusstrSBSBJNAS01
6666666.212345.902 -> ALPHAKETOGLUTARATE_AMINOACIDS|5|Glutamate_5_semialdehyde_dehydrogenase_1|391213	gi|6666666.212345.902|6666666.212345|JFLA01|Glycogen_branching_enzyme_GH_57_type_archaeal__EC_2.4.1.18_|ProchlorococcusspscB241527L22JFLA01
6666666.212436.506 -> PYR_THR_AA|10|3isopropylmalate_dehydrogenase_1|391213	gi|6666666.212436.506|6666666.212436|CP003597.1|Phosphate_transport_system_permease_protein_PstA__TC_3.A.1.7.1_|ChroococcidiopsisthermalisPCC7203CP0035971
6666666.212454.2863 -> 3PGA_AMINOACIDS|4|glycine_hydroxymethyltransferase_3|391246	gi|6666666.212454.2863|6666666.212454|CP000240.1|Group_2_RNA_polymerase_sigma_factor_|SynechococcusspJA23Ba213CP0002401
6666666.212185.2113 -> PYR_THR_AA|3|Acetolactate_synthase_large_subunit_1|391213	gi|6666666.212185.2113|6666666.212185|ALVX01|HMP_PP_hydrolase__pyridoxal_phosphatase__Cof_detected_in_genetic_screen_for_thiamin_metabolic_genes__PMID15292217_|FischerellaspPCC9431PCC9431ALVX01
6666666.212453.1454 -> OXALACETATE_AMINOACIDS|14|diaminopimelate_decarboxylase_3|391246	gi|6666666.212453.1454|6666666.212453|AP008231.1|Diaminopimelate_decarboxylase__EC_4.1.1.20_|SynechococcuselongatusPCC6301AP0082311
6666666.212055.3246 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_1|391213	gi|6666666.212055.3246|6666666.212055|LJZR01|Cysteine_synthase__EC_2.5.1.47_|PhormidesmispriestleyiAnaLJZR01
6666666.212397.207 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_1|391213	gi|6666666.212397.207|6666666.212397|CP003594.1|Epoxyqueuosine__oQ__reductase_QueG|SynechococcusspPCC7502CP0035941
6666666.212320.973 -> PYR_THR_AA|5|Dihydroxiacid_dehydratase_1|391213	gi|6666666.212320.973|6666666.212320|JFMG01|tRNA_uridine_5_carboxymethylaminomethyl_modification_enzyme_GidA|ProchlorococcusspscB243496N4JFMG01
6666666.212055.3270 -> calcium-dependent-antibiotic|26|26_3|391244	gi|6666666.212055.3270|6666666.212055|LJZR01|Anthranilate_synthase_amidotransferase_component__EC_4.1.3.27_|PhormidesmispriestleyiAnaLJZR01
6666666.212091.2228 -> ALPHAKETOGLUTARATE_AMINOACIDS|2|glutamate_dehydrogenase_1|391213	gi|6666666.212091.2228|6666666.212091|LVHK01|NADP_specific_glutamate_dehydrogenase__EC_1.4.1.4_|ProchlorococcusspMIT1303MIT1303LVHK01
6666666.212131.524 -> ALPHAKETOGLUTARATE_AMINOACIDS|5|Glutamate_5_semialdehyde_dehydrogenase_2|391245	gi|6666666.212131.524|6666666.212131|JXUO01|FIG00940850_hypothetical_protein|CandidatusSynechococcusspongiarum142JXUO01
6666666.212141.474 -> OXALACETATE_AMINOACIDS|7|Threonine_synthase_6|391246	gi|6666666.212141.474|6666666.212141|JYFQ01|Threonine_synthase__EC_4.2.3.1_|CandidatusSynechococcusspongiarum15LJYFQ01
6666666.212090.1129 -> R5P_AMINOACIDS|7|imidazoleglycerol_phosphate_dehydratase_1|391213	gi|6666666.212090.1129|6666666.212090|JFOA01|Imidazoleglycerol_phosphate_dehydratase__EC_4.2.1.19_|ProchlorococcusspscB245a521M10JFOA01
6666666.212068.2327 -> R5P_AMINOACIDS|5|phosphoribosyl_isomerase_A_1|391213	gi|6666666.212068.2327|6666666.212068|AVFS01|Phosphoribosylformimino_5_aminoimidazole_carboxamide_ribotide_isomerase__EC_5.3.1.16_|PlanktothrixagardhiiNIVACYA15NIVACYA15AVFS01
6666666.212063.1555 -> calcium-dependent-antibiotic|26|26_2|391245	gi|6666666.212063.1555|6666666.212063|JFLE01|Zinc_ABC_transporter_periplasmic_binding_protein_ZnuA|ProchlorococcusspscB241528J8JFLE01
6666666.212345.49 -> ALPHAKETOGLUTARATE_AMINOACIDS|19|N_acetylglutamate_synthase_1|391213	gi|6666666.212345.49|6666666.212345|JFLA01|Glutamate_N_acetyltransferase__EC_2.3.1.35____N_acetylglutamate_synthase__EC_2.3.1.1_|ProchlorococcusspscB241527L22JFLA01
6666666.212173.744 -> E4P_AMINO_ACIDS|12|Tryptophan_synthase_alpha_1|391213	gi|6666666.212173.744|6666666.212173|JFLZ01|CTP_synthase__EC_6.3.4.2_|ProchlorococcusspscB243495N3JFLZ01
6666666.212188.1207 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_1|391213	gi|6666666.212188.1207|6666666.212188|LXYR01|Cysteine_synthase__EC_2.5.1.47_|PhormidesmispriestleyiBC1401BC1401LXYR01
6666666.212337.1425 -> TCA|1|Citrate_synthase_3|391246	gi|6666666.212337.1425|6666666.212337|AUZM01|Citrate_synthase__si___EC_2.3.3.1_|LyngbyaaestuariiBLJBLJAUZM01
6666666.212455.864 -> Glycolysis|10|Pyruvate_kinase_1|391245	gi|6666666.212455.864|6666666.212455|BX548175.1|DNA_mismatch_repair_protein_MutS|ProchlorococcusmarinusstrMIT9313BX5481751
6666666.212217.184 -> ALPHAKETOGLUTARATE_AMINOACIDS|15|glutamate_synthase_2|391213	gi|6666666.212217.184|6666666.212217|JFNE01|Polyphosphate_kinase__EC_2.7.4.1_|ProchlorococcusspscB245a518J7JFNE01
6666666.212079.1553 -> ALPHAKETOGLUTARATE_AMINOACIDS|6|Pyrroline_5_carboxylate_reductase_2|391245	gi|6666666.212079.1553|6666666.212079|JNAK01|Pyrroline_5_carboxylate_reductase__EC_1.5.1.2_|ProchlorococcusmarinusstrMIT9123MIT9123JNAK01
6666666.212175.3904 -> OXALACETATE_AMINOACIDS|19|argininosuccinate_lyase_2|391245	gi|6666666.212175.3904|6666666.212175|MBRE01|Argininosuccinate_lyase__EC_4.3.2.1_|OscillatorialescyanobacteriumUSR001MBRE01
6666666.212068.2128 -> Glycolysis|10|Pyruvate_kinase_1|391245	gi|6666666.212068.2128|6666666.212068|AVFS01|Two_component_response_regulator|PlanktothrixagardhiiNIVACYA15NIVACYA15AVFS01
6666666.212119.7127 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_2|391245	gi|6666666.212119.7127|6666666.212119|AFEJ01|hypothetical_protein|AcaryochlorisspCCMEE5410CCMEE5410AFEJ01
6666666.212418.3023 -> ALPHAKETOGLUTARATE_AMINOACIDS|2|glutamate_dehydrogenase_1|391213	gi|6666666.212418.3023|6666666.212418|CP003944.1|NADP_specific_glutamate_dehydrogenase__EC_1.4.1.4_|DactylococcopsissalinaPCC8305CP0039441
6666666.212207.4750 -> 3PGA_AMINOACIDS|6|Cysteine_synthase_1|391213	gi|6666666.212207.4750|6666666.212207|AFXD01|Cysteine_synthase__EC_2.5.1.47_|ArthrospiraplatensisC1C1AFXD01
6666666.212437.477 -> E4P_AMINO_ACIDS|13|Tryptophan_synthase_beta_1|391213	gi|6666666.212437.477|6666666.212437|AP014821.1|Cyanophycin_synthase__EC_6.3.2.29__EC_6.3.2.30_|GeminocystisspNIES3709AP0148211
6666666.212238.1938 -> Glycolysis|10|Pyruvate_kinase_1|391245	gi|6666666.212238.1938|6666666.212238|CAQK01|Pyruvate_kinase__EC_2.7.1.40_|CrocosphaerawatsoniiWH8502WH8502CAQK01
6666666.212186.824 -> polyketide|215|215_1|391213	gi|6666666.212186.824|6666666.212186|JFKX01|FIG00940187_hypothetical_protein|ProchlorococcusspscB241527I9JFKX01
6666666.212077.223 -> ALPHAKETOGLUTARATE_AMINOACIDS|12|Argininosuccinate_synthase_1|391213	gi|6666666.212077.223|6666666.212077|JFNT01|LSU_ribosomal_protein_L2p__L8e_|ProchlorococcusspscB245a520F22JFNT01
6666666.212175.262 -> polyketide|215|215_1|391213	gi|6666666.212175.262|6666666.212175|MBRE01|5_Enolpyruvylshikimate_3_phosphate_synthase__EC_2.5.1.19_|OscillatorialescyanobacteriumUSR001MBRE01
6666666.212401.1724 -> R5P_AMINOACIDS|10|histidinol_dehydrogenase_3|391246	gi|6666666.212401.1724|6666666.212401|CP000552.1|FIG00940789_hypothetical_protein|ProchlorococcusmarinusstrMIT9515CP0005521
6666666.212269.1131 -> TCA|12|fumarate_hydratase_2|391213	gi|6666666.212269.1131|6666666.212269|JXQG01|hypothetical_protein|CandidatusSynechococcusspongiarumSP3JXQG01
6666666.212220.3233 -> calcium-dependent-antibiotic|26|26_1|391213	gi|6666666.212220.3233|6666666.212220|AZYY01|Glutathione_S_transferase|AphanizomenonflosaquaeNIES81NIES81AZYY01
6666666.212456.6062 -> TCA|11|fumarate_reductase_ironsulfur_subunit_1|391245	gi|6666666.212456.6062|6666666.212456|CP003642.1|Succinate_dehydrogenase_iron_sulfur_protein__EC_1.3.99.1_|CylindrospermumstagnalePCC7417CP0036421
6666666.212139.448 -> E4P_AMINO_ACIDS|19|phosphoribosylanthranilate_isomerase_1|391213	gi|6666666.212139.448|6666666.212139|JFMK01|Glycyl_tRNA_synthetase_beta_chain__EC_6.1.1.14_|ProchlorococcusspscB243497N18JFMK01
6666666.212095.4902 -> ALPHAKETOGLUTARATE_AMINOACIDS|15|glutamate_synthase_2|391213	gi|6666666.212095.4902|6666666.212095|ALVJ01|Ferredoxin_dependent_glutamate_synthase__EC_1.4.7.1_|CalothrixspPCC7103PCC7103ALVJ01
